COUNTRY,DISTANCE FROM SWITZERLAND
Iles Anglo normandes,813
Papouasie,13319
Nouvelle Guinee,14361
Sainte Helene,6967
Suisse,0
Liechtenstein,108
Monaco,349
Luxembourg,368
Saint Marin,460
France,465
Autriche,485
Belgique,495
Allemagne,511
Slovenie,524
Croatie,572
Pays-Bas,629
Republique tcheque,632
Tchequie,632
Vatican,642
Italie,650
Andorre,708
Saint Christophe,740
Saint Vincent,741
Iran,763
Bosnie-Herzegovine,806
Hongrie,857
Slovaquie,882
Pologne,972
Montenegro,992
Serbie,1045
Danemark,1055
Kosovo,1106
Albanie,1144
Espagne,1189
Macedoine,1223
Royaume-Uni,1251
Roumanie,1287
Malte,1315
Irlande,1382
Grece,1401
Lituanie,1432
Bulgarie,1434
Tunisie,1444
Grenade,1449
Norvege,1520
Moldavie,1524
Portugal,1567
Lettonie,1581
Bielorussie,1593
Suede,1630
Ukraine,1725
Estonie,1757
Feroe,1934
Finlande,2016
Maroc,2123
Algerie,2169
Turquie,2357
Libye,2415
Chypre,2470
Islande,2600
Liban,2732
Palestine,2830
Israel,2875
Syrie,2892
Egypte,2980
Jordanie,3005
Armenie,3039
Sahara Occidental,3140
Azerbaidjan,3237
Niger,3253
Irak,3342
Mauritanie,3356
Mali,3444
Tchad,3626
Groenland,3798
Koweit,3899
Burkina Faso,3959
Arabie Saoudite,4148
Senegal,4171
Turkmenistan,4200
Nigeria,4202
Cap Vert,4298
Soudan,4304
Togo,4311
Kazakhstan,4315
Gambie,4317
Bahrein,4366
Cameroun,4411
Ghana,4417
Guinee,4442
Ouzbekistan,4450
Qatar,4466
Guinee Bissau,4476
Benin,4514
Cote d'Ivoire,4567
Erythree,4575
Centrafrique,4639
Sierra Leone,4675
Liberia,4804
Emirats Arabes Unis,4810
Guinee equatoriale,5033
Djibouti,5054
Tadjikistan,5083
Oman,5111
Afghanistan,5116
Ethiopie,5188
Sao Tome et Principe,5195
Kirghizstan,5204
Congo,5291
Gabon,5313
Pakistan,5475
Somaliland,5555
Ouganda,5573
Congo democratique,5817
Rwanda,5828
Somalie,5894
Russie,5911
Kenya,5962
Burundi,5981
Bermudes,6237
Tanzanie,6481
Angola,6532
Nepal,6729
Mongolie,6782
Inde,6916
Zambie,6958
Canada,7066
Antigua et Barbuda,7133
Guadeloupe,7177
Malawi,7178
Saint Christophe et Nevis,7185
Nevis,7204
Dominique,7230
Bhoutan,7262
Martinique,7264
Barbade,7267
Vierges americaines,7271
Sainte Lucie,7319
Seychelles,7373
Comores,7388
Porto Rico,7409
Grenadines,7410
Saint Vincent et les Grenadines,7416
Bangladesh,7543
Guyane,7553
Georgie,7555
Trinite et Tobago,7595
Chine,7607
Zimbabwe,7626
Republique Dominicaine,7640
RepubliqueDominicaine,7640
Republique Dominicaine,7640
Bahamas,7700
Tibet,7742
Surinam,7765
Haiti,7783
Mozambique,7790
Maldives,7834
Namibie,7838
Botswana,7876
Guyana,7900
Cuba,7999
Etats-Unis,8023
USA,8023
Sri Lanka,8056
Birmanie (Myanmar),8096
Myanmar,8096
Birmanie,8096
Jamaique,8228
Madagascar,8268
Marshall,8299
Venezuela,8346
Iles Cayman,8429
Swaziland,8495
Coree du Nord,8627
Laos,8738
Afrique du Sud,8742
Lesotho,8745
Reunion,8931
Thailande,8947
Maurice,8967
Coree du Sud,9033
Bresil,9056
Colombie,9081
Honduras,9127
Belize,9132
Nicaragua,9239
Panama,9255
Macao,9330
Hong Kong,9353
Guatemala,9373
Costa Rica,9382
Salvador,9437
Cambodge,9511
Japon,9539
Tristan Da Cunha,9564
Mexique,9575
Vietnam,9630
Taiwan,9697
Equateur,9897
Malaisie,9965
Bolivie,10019
Perou,10258
Paraguay,10286
Singapour,10337
Philippines,10686
Brunei,10893
Uruguay,10912
Indonesie,11275
Argentine,11762
Palau,12011
Chili,12144
Malouines,12736
Falkland,12736
Timor Oriental,12820
Micronesie,13368
Kiribati,14442
Nauru,14488
Australie,14715
Salomon,15127
Tuvalu,15941
Vanuatu,16026
Samoa,16362
Nouvelle Caledonie,16534
Fidji,16671
Tonga,17172
Nouvelle Zelande,18600
